Date,Open,High,Low,Close,Adj Close,Volume
2018-01-25,1339.000000,1339.000000,1311.500000,1317.500000,1292.291748,16045
2018-01-29,1320.000000,1325.750000,1310.099976,1313.150024,1288.025024,13914
2018-01-30,1313.199951,1319.949951,1305.750000,1307.699951,1282.679199,9753
2018-01-31,1304.849976,1304.849976,1281.599976,1297.199951,1272.380127,32441
2018-02-01,1305.000000,1326.650024,1285.000000,1296.550049,1271.742554,20669
2018-02-02,1294.000000,1299.550049,1233.050049,1291.300049,1266.593018,36986
2018-02-05,1290.000000,1317.650024,1235.000000,1294.199951,1269.437378,14557
2018-02-06,1270.000000,1288.050049,1199.949951,1280.500000,1255.999634,16943
2018-02-07,1285.000000,1304.949951,1225.000000,1239.449951,1215.734985,15629
2018-02-08,1244.949951,1251.099976,1225.699951,1231.000000,1207.446777,9071
2018-02-09,1239.949951,1243.000000,1207.199951,1217.150024,1193.861816,10217
2018-02-12,1228.949951,1254.000000,1225.000000,1245.599976,1221.767334,9897
2018-02-14,1234.050049,1269.000000,1234.050049,1252.900024,1228.927734,9491
2018-02-15,1241.000000,1257.300049,1190.250000,1199.000000,1176.059082,24545
2018-02-16,1190.000000,1222.599976,1172.000000,1200.750000,1177.775513,32085
2018-02-19,1200.000000,1218.000000,1184.349976,1202.800049,1179.786377,19615
2018-02-20,1181.000000,1208.000000,1181.000000,1200.550049,1177.579468,4771
2018-02-21,1203.949951,1213.400024,1198.300049,1210.099976,1186.946533,8165
2018-02-22,1200.000000,1210.099976,1200.000000,1203.099976,1180.080566,3994
2018-02-23,1208.000000,1225.000000,1204.099976,1214.650024,1191.409668,7688
2018-02-26,1221.500000,1229.000000,1216.000000,1223.900024,1200.482544,4441
2018-02-27,1212.000000,1225.199951,1210.000000,1218.750000,1195.431152,5232
2018-02-28,1207.000000,1226.599976,1199.449951,1202.000000,1179.001587,9102
2018-03-01,1216.050049,1218.099976,1202.599976,1210.050049,1186.897583,3973
2018-03-05,1208.500000,1209.449951,1193.000000,1200.949951,1177.971680,6673
2018-03-06,1203.900024,1211.000000,1112.099976,1160.800049,1138.589966,43623
2018-03-07,1154.000000,1156.849976,1119.199951,1130.650024,1109.016846,21877
2018-03-08,1133.000000,1137.849976,1092.000000,1117.750000,1096.363525,33043
2018-03-09,1103.250000,1123.599976,1085.000000,1098.650024,1077.629150,25712
2018-03-12,1100.050049,1147.699951,1100.050049,1119.349976,1097.932983,18429
2018-03-13,1134.949951,1140.000000,1105.000000,1112.550049,1091.263184,11498
2018-03-14,1104.849976,1117.000000,1100.000000,1105.250000,1084.102783,13063
2018-03-15,1102.449951,1124.000000,1097.199951,1112.599976,1091.312134,16873
2018-03-16,1114.000000,1116.000000,1096.449951,1103.800049,1082.680542,29821
2018-03-19,1108.250000,1151.449951,1106.000000,1123.699951,1102.199707,34353
2018-03-20,1120.849976,1146.300049,1113.050049,1135.199951,1113.479614,9036
2018-03-21,1126.050049,1186.000000,1125.000000,1178.349976,1155.804077,14971
2018-03-22,1175.000000,1180.900024,1141.050049,1160.500000,1138.295654,9847
2018-03-23,1140.000000,1145.000000,1123.150024,1141.550049,1119.708252,9501
2018-03-26,1135.000000,1210.000000,1132.849976,1188.949951,1166.201294,21616
2018-03-27,1184.000000,1300.000000,1180.000000,1280.449951,1255.950439,33246
2018-03-28,1258.000000,1338.000000,1258.000000,1294.750000,1269.976929,22513
2018-04-02,1321.800049,1321.800049,1221.500000,1259.099976,1235.009033,13568
2018-04-03,1265.000000,1297.900024,1262.400024,1272.599976,1248.250732,7565
2018-04-04,1280.000000,1293.699951,1249.949951,1266.050049,1241.826172,13107
2018-04-05,1285.000000,1320.000000,1273.050049,1287.699951,1263.061768,8334
2018-04-06,1295.000000,1312.000000,1294.250000,1300.699951,1275.812988,3494
2018-04-09,1301.050049,1325.550049,1283.500000,1311.599976,1286.504517,5745
2018-04-10,1310.000000,1368.500000,1308.349976,1351.750000,1325.886353,20462
2018-04-11,1360.300049,1363.349976,1330.000000,1341.599976,1315.930542,7523
2018-04-12,1322.699951,1341.800049,1292.550049,1330.199951,1304.748657,13174
2018-04-13,1328.199951,1333.800049,1315.000000,1319.750000,1294.498657,9384
2018-04-16,1322.150024,1340.000000,1308.949951,1327.599976,1302.198486,7017
2018-04-17,1334.949951,1346.500000,1312.349976,1342.449951,1316.764282,6921
2018-04-18,1350.000000,1353.050049,1329.900024,1347.250000,1321.472534,5437
2018-04-19,1330.000000,1351.800049,1330.000000,1346.449951,1320.687744,5164
2018-04-20,1335.000000,1365.000000,1325.000000,1355.199951,1329.270386,7919
2018-04-23,1355.199951,1358.000000,1330.250000,1353.500000,1327.602905,4792
2018-04-24,1345.300049,1363.050049,1345.000000,1357.250000,1331.281128,4368
2018-04-25,1349.699951,1363.949951,1341.000000,1355.050049,1329.123291,2214
2018-04-26,1360.000000,1375.199951,1351.900024,1368.800049,1342.610107,3632
2018-04-27,1372.900024,1380.599976,1350.000000,1362.849976,1336.773926,4277
2018-04-30,1356.449951,1421.500000,1350.699951,1397.000000,1370.270508,16458
2018-05-02,1410.000000,1436.949951,1395.449951,1416.050049,1388.956177,17011
2018-05-03,1421.050049,1444.000000,1361.050049,1414.349976,1387.288574,13444
2018-05-04,1418.800049,1425.000000,1349.800049,1406.349976,1379.441650,29312
2018-05-07,1405.800049,1409.000000,1362.000000,1374.099976,1347.808716,3307
2018-05-08,1280.000000,1288.699951,1260.000000,1263.550049,1239.374023,8743353
2018-05-09,1267.000000,1339.800049,1266.949951,1329.550049,1304.111206,98502
2018-05-10,1330.099976,1340.949951,1302.900024,1310.000000,1284.935181,24965
2018-05-11,1303.849976,1313.449951,1281.599976,1296.750000,1271.938599,10960
2018-05-14,1296.000000,1296.000000,1266.000000,1272.349976,1248.005493,10296
2018-05-15,1261.449951,1298.750000,1260.000000,1282.099976,1257.568970,19404
2018-05-16,1282.550049,1282.550049,1253.000000,1270.550049,1246.239990,5366
2018-05-17,1271.150024,1285.000000,1262.699951,1270.099976,1245.798584,5299
2018-05-18,1270.150024,1275.599976,1263.250000,1271.949951,1247.613159,2190
2018-05-21,1266.900024,1266.949951,1228.449951,1259.349976,1235.254272,7232
2018-05-22,1257.000000,1259.750000,1192.400024,1206.050049,1182.974121,13295
2018-05-23,1213.800049,1230.000000,1201.349976,1224.550049,1201.120117,4491
2018-05-24,1227.400024,1234.000000,1217.000000,1219.250000,1195.921509,2970
2018-05-25,1217.800049,1258.900024,1217.800049,1250.900024,1226.966064,6075
2018-05-28,1237.449951,1265.000000,1237.449951,1255.699951,1231.674072,4399
2018-05-29,1258.400024,1267.849976,1230.000000,1234.050049,1210.438354,2365
2018-05-30,1227.750000,1244.000000,1200.500000,1210.000000,1186.848511,4282
2018-05-31,1213.949951,1219.599976,1188.199951,1203.800049,1180.767212,4627
